Países;Grupos de edad;Periodo;Total
Irlanda;De 15 a 24 años;2014;0,2
Irlanda;De 15 a 24 años;2013;-1,1
Irlanda;De 25 a 54 años;2023;9,8
Irlanda;De 25 a 54 años;2022;11,2
Irlanda;De 25 a 54 años;2021;10,8
Irlanda;De 25 a 54 años;2020;13,1
Irlanda;De 25 a 54 años;2019;13,1
Irlanda;De 25 a 54 años;2018;12,8
Irlanda;De 25 a 54 años;2017;12,8
Irlanda;De 25 a 54 años;2016;12,7
Irlanda;De 25 a 54 años;2015;12,6
Irlanda;De 25 a 54 años;2014;12,4
Irlanda;De 25 a 54 años;2013;11,1
Irlanda;De 20 a 64 años;2023;9,9
Irlanda;De 20 a 64 años;2022;11,3
Irlanda;De 20 a 64 años;2021;10
Irlanda;De 20 a 64 años;2020;12,1
Irlanda;De 20 a 64 años;2019;12,4
Irlanda;De 20 a 64 años;2018;12,2
Irlanda;De 20 a 64 años;2017;12,1
Irlanda;De 20 a 64 años;2016;12,1
Irlanda;De 20 a 64 años;2015;12,3
Irlanda;De 20 a 64 años;2014;11,8
Irlanda;De 20 a 64 años;2013;10,6
Irlanda;De 55 a 64 años;2023;15,6
Irlanda;De 55 a 64 años;2022;16,4
Irlanda;De 55 a 64 años;2021;13,1
Irlanda;De 55 a 64 años;2020;15,3
Irlanda;De 55 a 64 años;2019;16
Irlanda;De 55 a 64 años;2018;16,3
Irlanda;De 55 a 64 años;2017;16,3
Irlanda;De 55 a 64 años;2016;16,6
Irlanda;De 55 a 64 años;2015;18,2
Irlanda;De 55 a 64 años;2014;16,5
Irlanda;De 55 a 64 años;2013;15,9
Grecia;De 15 a 64 años;2023;18
Grecia;De 15 a 64 años;2022;19,1
Grecia;De 15 a 64 años;2021;18,2
Grecia;De 15 a 64 años;2020;17,7
Grecia;De 15 a 64 años;2019;18,6
Grecia;De 15 a 64 años;2018;19,4
Grecia;De 15 a 64 años;2017;18,3
Grecia;De 15 a 64 años;2016;17,7
Grecia;De 15 a 64 años;2015;16,8
Grecia;De 15 a 64 años;2014;16,9
Grecia;De 15 a 64 años;2013;18,3
Grecia;De 15 a 24 años;2023;3,9
Grecia;De 15 a 24 años;2022;5,9
Grecia;De 15 a 24 años;2021;4,5
Grecia;De 15 a 24 años;2020;4,2
Grecia;De 15 a 24 años;2019;2,7
Grecia;De 15 a 24 años;2018;3,9
Grecia;De 15 a 24 años;2017;3,5
Grecia;De 15 a 24 años;2016;3,4
Grecia;De 15 a 24 años;2015;4,3
Grecia;De 15 a 24 años;2014;4,9
Grecia;De 15 a 24 años;2013;5,5
Grecia;De 25 a 54 años;2023;18,9
Grecia;De 25 a 54 años;2022;19,8
Grecia;De 25 a 54 años;2021;19,5
Grecia;De 25 a 54 años;2020;18,6
Grecia;De 25 a 54 años;2019;20
Grecia;De 25 a 54 años;2018;21,4
Grecia;De 25 a 54 años;2017;20,3
Grecia;De 25 a 54 años;2016;20,1
Grecia;De 25 a 54 años;2015;18,3
Grecia;De 25 a 54 años;2014;18,7
Grecia;De 25 a 54 años;2013;20,2
Grecia;De 20 a 64 años;2023;19,8
Grecia;De 20 a 64 años;2022;21
Grecia;De 20 a 64 años;2021;19,8
Grecia;De 20 a 64 años;2020;18,9
Grecia;De 20 a 64 años;2019;20
Grecia;De 20 a 64 años;2018;21
Grecia;De 20 a 64 años;2017;19,7
Grecia;De 20 a 64 años;2016;19
Grecia;De 20 a 64 años;2015;18
Grecia;De 20 a 64 años;2014;18,3
Grecia;De 20 a 64 años;2013;19,6
Grecia;De 55 a 64 años;2023;24
Grecia;De 55 a 64 años;2022;25,5
Grecia;De 55 a 64 años;2021;23,4
Grecia;De 55 a 64 años;2020;23,5
Grecia;De 55 a 64 años;2019;24,5
Grecia;De 55 a 64 años;2018;23,3
Grecia;De 55 a 64 años;2017;21,6
Grecia;De 55 a 64 años;2016;19
Grecia;De 55 a 64 años;2015;20,2
Grecia;De 55 a 64 años;2014;19
Grecia;De 55 a 64 años;2013;19,9
España;De 15 a 64 años;2023;9,1
España;De 15 a 64 años;2022;9,8
España;De 15 a 64 años;2021;9,6
España;De 15 a 64 años;2020;10,4
España;De 15 a 64 años;2019;10,8
España;De 15 a 64 años;2018;11
España;De 15 a 64 años;2017;10,8
España;De 15 a 64 años;2016;10,5
España;De 15 a 64 años;2015;10,2
España;De 15 a 64 años;2014;9,5
España;De 15 a 64 años;2013;8,9
España;De 15 a 24 años;2023;2,7
España;De 15 a 24 años;2022;3,1
España;De 15 a 24 años;2021;2,5
España;De 15 a 24 años;2020;3,7
España;De 15 a 24 años;2019;4,2
España;De 15 a 24 años;2018;2,2
España;De 15 a 24 años;2017;1,5
España;De 15 a 24 años;2016;2,2
España;De 15 a 24 años;2015;1,3
España;De 15 a 24 años;2014;1,4
España;De 15 a 24 años;2013;1
España;De 25 a 54 años;2023;10
España;De 25 a 54 años;2022;10,7
España;De 25 a 54 años;2021;10,6
España;De 25 a 54 años;2020;11,4
España;De 25 a 54 años;2019;11,7
España;De 25 a 54 años;2018;12,2
España;De 25 a 54 años;2017;12,1
España;De 25 a 54 años;2016;11,8
España;De 25 a 54 años;2015;11,4
España;De 25 a 54 años;2014;10,2
España;De 25 a 54 años;2013;9,2
España;De 20 a 64 años;2023;10,2
España;De 20 a 64 años;2022;10,9
España;De 20 a 64 años;2021;10,6
España;De 20 a 64 años;2020;11,4
España;De 20 a 64 años;2019;11,9
España;De 20 a 64 años;2018;12,1
España;De 20 a 64 años;2017;11,9
España;De 20 a 64 años;2016;11,5
España;De 20 a 64 años;2015;11,2
España;De 20 a 64 años;2014;10,2
España;De 20 a 64 años;2013;9,6
España;De 55 a 64 años;2023;13,2
España;De 55 a 64 años;2022;13,4
España;De 55 a 64 años;2021;13,2
España;De 55 a 64 años;2020;13,6
España;De 55 a 64 años;2019;14,2
España;De 55 a 64 años;2018;14,8
España;De 55 a 64 años;2017;14,3
España;De 55 a 64 años;2016;12,9
España;De 55 a 64 años;2015;13,8
España;De 55 a 64 años;2014;13,4
España;De 55 a 64 años;2013;14,2
Francia;De 15 a 64 años;2023;5
